Department,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antioquia,10284.37511778614,9415.377945673872,9515.598074978418,9393.290345399946,9396.292614320471,10280.444571750275,9830.42458060257,9176.986498569298,8832.55889751116,8505.750647274157,7960.588516247547,8522.77825002003,8282.475898994937,8177.84548627233,8468.31820659354,8352.749140960123,9941.591152123237,12779.726910886626
Atlántico,3898.8542144362686,3557.656670860173,3521.1232187723385,3486.3330044882455,3365.2699360541183,3515.758891125962,3438.8142214404106,3277.2340911072015,3309.626130475405,3351.27351768087,3175.0815114803695,3495.863170911947,3310.8323926302587,3306.2543510161163,3415.4314464421223,3470.2027379231345,4529.144583436646,5750.907275282115
Bogotá,11153.143483148862,10355.461170610064,10046.209111228576,10121.414118875577,9933.444858630375,10019.448024848214,9935.144259621125,9647.217576735273,9314.934466744824,8770.80980467798,8418.924423671198,8802.713580514972,8390.63575976968,8189.684487039626,8047.11786261038,8238.947368244182,9603.84846323904,13038.193160360974
Bolívar,3113.060998941726,2888.8687619936736,2938.0765115496315,2992.99783033434,2833.9709189866962,3140.9509634043266,3041.4639341721336,2859.245927149716,2863.0597501822535,3062.946940820386,2789.2211321126533,3048.917409025199,2946.752715637181,2976.0290111454156,3167.433474664312,3108.3554443562093,4233.660405083574,4758.212602704471
Boyacá,2165.776577245354,2031.7417789354831,1990.8079205730078,1973.909413770056,1905.743638784412,1974.200335950263,1926.661511527972,1848.265491486197,1803.1972533456978,1786.135282867111,1646.545260424264,1748.7362524430446,1671.6637244727262,1614.3576899115085,1619.6546517453764,1587.1201125611676,1965.297455300813,2454.5885023930673
Caldas,1963.5702003371507,1856.4127767967082,1776.793279606506,1700.796814254497,1632.3577589774209,1612.807704161793,1569.4877023768083,1497.2055144942688,1443.1982138654173,1400.9218360679918,1334.9013739405268,1377.8861767817543,1316.1139750609705,1262.7753079518022,1280.1991432401496,1244.6853082554471,1514.4127067854424,1932.7326006633357
Caquetá,718.2961715206822,696.5549176423857,710.3657150391999,691.8043387399581,629.1747112140615,666.6297207132747,684.2859518381953,631.8626383869757,634.1329450925414,671.1024541312538,603.1247804897624,650.6192054978623,650.0155941841763,614.2592836209126,638.0672695770687,651.6629935800069,880.5268108381908,936.6226834986284
Cauca,2223.5804116677077,2083.7457164694792,2112.824822633919,2160.836888170621,2021.5269059670711,2240.1937683727333,2151.73109275715,2034.4978695490697,2004.5914981644958,2139.3441936352656,1929.3650389810896,2128.574110759512,2048.29790120353,2023.089906117138,2163.774944080106,2133.4659428578616,2679.432495047548,3167.62254752617
Cesar,1550.2351504999547,1461.8933549154353,1436.7192270567114,1487.710650054639,1445.280380170526,1612.9910659644609,1550.0999129957852,1476.3533923068303,1472.0287262733132,1595.6558736609463,1453.8118831902793,1613.4140379619662,1572.6962557246677,1581.8893717248332,1760.338909467796,1739.8605935780079,2275.075505602533,2772.781518973473
Córdoba,2650.854401756598,2465.0242992943486,2524.7830541436365,2587.422474249643,2434.5993969998167,2759.397085704177,2677.5504649388836,2497.51742211271,2469.267495352595,2708.2903956571095,2412.7108063070505,2655.8788439148034,2558.1016209213694,2509.3232752677504,2698.0131616359845,2607.948714078434,3518.4358761715457,4010.811636883941
Cundinamarca,3621.4295353710154,3392.8739530874354,3362.148542895379,3372.3306134793743,3298.8495883719893,3424.999002259954,3491.2916230904875,3424.904678407862,3402.493707980873,3422.5010843147547,3314.278269289852,3624.0682065472006,3605.078790104553,3640.3982832406814,3763.4627759231435,3887.7322643058224,4653.9106617351745,6181.272410499405
Chocó,657.7278011432542,640.2488145897958,684.9160759994525,699.6228584151553,670.5340725565834,799.959554166199,759.0344104699127,741.6332202864152,752.7527653485893,842.4108254691367,773.9752385376418,849.3737072604093,841.6698569915769,808.2771473657864,909.9300734718859,911.5166726206774,1253.692679329924,1424.9351125565213
Huila,1815.6101902541793,1703.7209308592967,1736.2818912499215,1835.6985146262746,1692.2698248280465,1845.9266144369226,1741.0804627889195,1650.4761099173945,1639.5935956797969,1718.3640808261512,1561.23984021841,1733.0293793609453,1702.9892426950237,1628.2623806895378,1688.877149258179,1642.688372013017,2140.9012259511815,2557.997325807844
La Guajira,1004.0444380892328,956.5245241571935,1004.2339921818665,1051.4123180818,985.972378194969,1181.0156241631214,1132.5654581277083,1062.8935117056094,1078.6812090051133,1257.4116381556532,1109.4949636878978,1250.1685864336687,1239.4283650843013,1252.077566887607,1527.9274123727869,1558.196185897752,2136.7292791761574,2495.0694775405013
Magdalena,1952.9617888388507,1796.9154573916892,1856.1025929237849,1936.3395069158275,1803.2901903881911,2039.2081828138382,1947.6701839532514,1879.0884620219017,1923.153665048243,2066.890235741158,1883.1842953137755,1990.596683492178,1924.405749036655,1900.4928848420511,2141.912537019989,2075.2562160449256,2792.6235034179017,3523.193578126698
Meta,1572.9797081058189,1424.228355776797,1496.2989968862457,1508.60034028639,1475.2581129431287,1504.670036363523,1570.0416605867865,1514.591240788911,1478.2858362451611,1509.3517908519461,1410.671116997107,1531.1888517681773,1484.8055611045993,1370.5422411985726,1434.9290023769406,1400.637456800056,1713.872982734577,2168.59269747436
Nariño,2589.6834776443784,2389.1020405212594,2438.2046459466715,2500.6778284674983,2349.7590434676245,2596.9580979880843,2504.8021813451874,2347.215129704262,2329.732937054123,2477.3275776060905,2231.1745164433155,2431.380120192401,2333.9272686926747,2282.0861496019984,2406.9994534133452,2307.0892416341244,3013.214782810778,3564.391456314083
Norte de Santander,2364.9964201170096,2271.8192712655396,2335.6189429373753,2255.3644216723783,2204.9794505545906,2382.417246342626,2289.7399470555083,2150.1427062026564,2160.174677386005,2220.007112246511,2044.4030209540133,2122.795609515315,2098.2713971106605,2093.3781682323706,2270.7638170261544,2306.0070275186104,3116.960185191942,3515.506565552099
Quindío,965.7261830062475,964.7412042158478,899.1883270985326,926.9242522523386,853.6744373264846,889.6157110275715,849.9993193051038,833.3916813128176,790.2668120854985,765.275113503167,741.2185926138808,770.5135637264088,782.2346788588753,695.6661322221178,711.9193049224352,675.6250489529157,798.0006935385878,981.8416715666888
Risaralda,1876.090345142657,1767.1238793090658,1644.5151399127926,1679.7221399772966,1610.1327780799854,1583.4890575192499,1516.150558601963,1386.243082847358,1376.7289767629834,1315.351731454814,1244.514678709061,1321.1856787017791,1257.0382343342278,1191.2924394863262,1197.8142430492312,1171.6947285060862,1370.3464977229455,1719.908013493662
Santander,3334.6602865211835,3125.453930146905,3157.8082566270273,3133.3279038663372,3069.263172258357,3161.4298936398673,3113.25124483205,2931.0034206005894,2893.068484364117,2981.6483663658996,2790.111047740683,2968.2151469173905,2805.91158642795,2725.9766836868725,2826.809021851894,2812.029051291386,3557.5828370269273,4631.8581167611865
Sucre,1358.27973503101,1262.6892630987863,1298.5783143609215,1329.1493597056424,1248.2313029331701,1416.4364270147976,1358.930370651911,1262.667041904652,1287.4786052942334,1411.0553291477954,1251.317786059361,1392.4736601762177,1349.8226249727722,1334.5345334515196,1445.0978978098517,1419.8497417953715,1901.5514744460968,2203.9449436276827
Tolima,2392.9753792847223,2236.392274893186,2218.2852252473863,2213.936768721734,2066.8602650199973,2162.2032596476624,2124.087599223867,1999.2394695191745,1957.0852199646838,1947.0164924777087,1789.5948958293063,1885.207771348204,1831.482121430852,1747.0891251858488,1760.2222028406607,1717.3531650814004,2117.7735620262006,2649.6144125172805
Valle del Cauca,8324.710171552548,7776.238753763743,7519.910988229781,7390.640114966225,6881.345481308423,7164.904998077418,6839.569726871279,6713.469837240586,6363.568627631226,6265.198331765044,5720.706221406434,5956.710422025286,5636.671578184903,5288.061376806624,5446.96580137146,5404.337400215607,6063.6104060952275,7758.322441498465
Arauca,530.8457993720616,460.99082076427106,457.02392515175455,487.7868912208379,465.94941901843544,483.4958683465477,462.5888318534768,417.01986214192596,408.86251763670896,464.0062536655274,426.789092662329,404.1139903927632,398.371406032588,390.4132530981779,427.03027043977994,468.796191038895,546.9495411674715,661.097182006178
Casanare,560.4777371414376,490.97277211016257,497.75876750755936,529.6635232102019,522.0493857810367,550.9948639258681,552.2240344539621,541.9466666225079,527.4011650888979,551.3706786677436,510.84985708492417,557.4507267318562,547.4939066671211,534.4326310850452,561.3671942866279,571.3812924543023,718.7832362494821,989.4379161056652
Putumayo,445.29979307998485,414.9113786177144,420.5900497622122,457.671984548713,417.86274149401345,470.3661530467406,472.46409396694287,462.19402447451404,455.08713150063755,496.92444989909706,464.2790479105228,486.50105366789103,472.8658865735211,547.6715935987618,519.4995173179843,493.395324937854,659.2153354098932,799.8362782939786
"Archipelago de San Andrés, Providencia y Santa Catalina",106.72888231925519,97.6586921641961,94.49421240117213,94.14123967461444,90.18671215970024,91.45696370320437,89.72813651064908,85.09443934322185,81.32756554884187,79.1290553210097,75.81885808799662,77.20182095739032,73.49185271340869,72.96240905400515,70.98859063730623,69.92206903160944,83.69041073706376,108.18421059341962
Amazonas,116.16289302216698,110.61711542108641,111.28942761429781,116.99156217148641,107.8349862396664,128.0346866633761,118.96205072796616,112.2062919232489,111.74088877343624,130.64006170727538,115.97152890033598,144.26179633793285,117.81214756383828,116.21573868456039,130.84731000599604,132.61074907824846,234.8383350054057,252.1399984500888
Guainía,49.99032381637748,50.82015977900117,51.819254518939985,56.884222504924416,48.52833803985639,60.38473431645236,62.18569817536453,52.021433871693134,53.35244523204043,66.89347489783347,57.987571897807776,64.24139189654397,65.75543225886382,63.95175833189861,81.74995605947673,73.66450822066659,111.73017868262151,116.83921031904694
Guaviare,193.36730626042416,170.5328751943315,172.46051827276344,160.04091041285494,151.07654640645345,187.15600680837005,156.45568777888872,132.50604314444865,139.35130064481544,146.76580253586016,118.00669673930474,123.27590534165279,123.00314079127699,128.64742729272464,141.5155132925646,151.75930373604592,170.82449850182363,209.34870694409585
Vaupés,43.22598665659141,43.981348451122855,54.497020062684385,49.365082925595715,50.91897376326369,64.3765690626413,57.55641139986625,57.573898226182216,53.577491471135524,64.17449641557664,53.890132924989004,61.5902383889186,61.29247210575218,57.68441558109058,66.49218857204505,66.46343121263635,89.2516580326646,93.11739215502385
Vichada,146.44917977752172,129.24096478807468,141.89926847076808,158.66491467536162,146.08772038431357,171.02061294170275,159.91739314809197,147.98762343866542,149.92897877636335,188.51384274898953,155.7576563340687,185.1135127513924,177.40033020671044,179.34449097107705,211.4665042227068,199.2168879165377,291.16694657575886,308.82328210847055
